Age,Gender,Country,Income,HasDebt,OwnsProperty,Demographics,Platform,MinutesSpent,NumSessions,NumVideos,ScrollRate,TimeOfDay,ProductivityLoss,Satisfaction,WatchReason,SelfControl,AddictionLevel,CurrentActivity,BinnedProdLoss
56,Male,Pakistan,82812,True,True,Rural,Instagram,80,17,22,87,Night,3,7,Procrastination,5,5,Commuting,Low
46,Female,Mexico,27999,False,True,Urban,Instagram,228,14,31,46,Afternoon,5,5,Habit,7,3,At school,Medium
32,Female,United States,42436,False,True,Rural,Facebook,30,6,7,88,Evening,6,4,Entertainment,8,2,At home,Medium
60,Male,Brazil,62963,True,False,Rural,YouTube,101,19,41,93,Night,3,7,Habit,5,5,Commuting,Low
25,Male,Pakistan,22096,False,True,Urban,TikTok,136,6,21,4,Morning,8,2,Boredom,10,0,At home,High
38,Male,Vietnam,45279,False,False,Urban,Instagram,89,18,16,38,Night,3,7,Entertainment,5,5,At home,Low
56,Male,India,46201,False,False,Rural,TikTok,247,5,20,63,Morning,8,2,Habit,10,0,At school,High
36,Male,Brazil,39715,False,False,Rural,Instagram,191,6,43,29,Night,3,7,Entertainment,5,5,At home,Low
40,Male,United States,49309,False,False,Rural,Instagram,34,2,44,19,Night,3,7,Entertainment,5,5,At home,Low
28,Other,United States,35078,False,False,Rural,YouTube,165,8,47,91,Evening,6,4,Boredom,8,2,At home,Medium
28,Male,Indonesia,76614,True,True,Rural,Instagram,14,15,19,29,Afternoon,5,5,Boredom,7,3,At home,Medium
41,Other,Philippines,25105,False,False,Urban,TikTok,129,15,48,35,Evening,6,4,Habit,8,2,At home,Medium
53,Male,Japan,22839,False,False,Rural,Instagram,286,11,32,70,Afternoon,5,5,Habit,7,3,At school,Medium
57,Male,Indonesia,88920,True,True,Rural,Facebook,27,1,15,23,Evening,6,4,Entertainment,8,2,Commuting,Medium
41,Other,Vietnam,63619,True,True,Rural,YouTube,207,18,5,46,Evening,6,4,Boredom,8,2,At school,Medium
20,Female,Philippines,62821,True,True,Rural,YouTube,66,12,11,44,Evening,6,4,Entertainment,8,2,At school,Medium
39,Female,Mexico,33493,False,False,Rural,Facebook,102,12,15,48,Afternoon,5,5,Habit,7,3,At home,Medium
19,Female,Brazil,37069,False,False,Rural,Facebook,28,11,29,52,Evening,6,4,Habit,8,2,At home,Medium
41,Other,Japan,27531,False,False,Rural,Facebook,202,8,45,8,Evening,6,4,Entertainment,8,2,At work,Medium
61,Male,United States,57051,True,True,Urban,Instagram,246,7,4,55,Morning,8,2,Habit,10,0,At work,High
47,Male,India,27736,False,False,Rural,YouTube,286,2,49,66,Afternoon,5,5,Habit,7,3,Commuting,Medium
55,Male,Brazil,27710,False,False,Rural,Facebook,236,11,36,77,Afternoon,5,5,Boredom,7,3,Commuting,Medium
