"","Age","Income","MinutesSpent","NumSessions","NumVideos","ScrollRate","ProductivityLoss","Satisfaction","SelfControl","AddictionLevel","Gender_Female","Gender_Male","Gender_Other","Country_Brazil","Country_Germany","Country_India","Country_Indonesia","Country_Japan","Country_Mexico","Country_Pakistan","Country_Philippines","Country_United States","Country_Vietnam","HasDebt_False","HasDebt_True","OwnsProperty_False","OwnsProperty_True","Profession_Artist","Profession_Cashier","Profession_driver","Profession_Engineer","Profession_Labor/Worker","Profession_Manager","Profession_Students","Profession_Teacher","Profession_Waiting staff","Demographics_Rural","Demographics_Urban","Platform_Facebook","Platform_Instagram","Platform_TikTok","Platform_YouTube","TimeOfDay_Afternoon","TimeOfDay_Evening","TimeOfDay_Morning","TimeOfDay_Night","WatchReason_Boredom","WatchReason_Entertainment","WatchReason_Habit","WatchReason_Procrastination","DeviceType_Computer","DeviceType_Smartphone","DeviceType_Tablet","OS_Android","OS_iOS","OS_MacOS","OS_Windows","CurrentActivity_Commuting","CurrentActivity_Home","CurrentActivity_School","CurrentActivity_Work","ConnectionType_Mobile Data","ConnectionType_Wi-Fi"
"1",56,82812,80,17,22,87,3,7,5,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
"2",46,27999,228,14,31,46,5,5,7,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1
"3",32,42436,30,6,7,88,6,4,8,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
"4",60,62963,101,19,41,93,3,7,5,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
"5",25,22096,136,6,21,4,8,2,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
"6",38,45279,89,18,16,38,3,7,5,5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
"7",56,46201,247,5,20,63,8,2,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1
"8",36,39715,191,6,43,29,3,7,5,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
"9",40,49309,34,2,44,19,3,7,5,5,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
"10",28,35078,165,8,47,91,6,4,8,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
"11",28,76614,14,15,19,29,5,5,7,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
"12",41,25105,129,15,48,35,6,4,8,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
"13",53,22839,286,11,32,70,5,5,7,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0
"14",57,88920,27,1,15,23,6,4,8,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
"15",41,63619,207,18,5,46,6,4,8,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
"16",20,62821,66,12,11,44,6,4,8,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
