Age,Income,HasDebt,OwnsProperty,Profession,Demographics,Platform,MinutesSpent,NumSessions,Genre,VideoLength,VideoTime,NumVideos,TimeOfDay,ProductivityLoss,WatchReason,Device,OS,CurrentActivity,Connection,BinnedProdLoss
56,82812,True,True,Engineer,Rural,Instagram,80,17,Pranks,24,26,22,Night,3,Procrastination,Smartphone,Android,Commuting,MobileData,Low
46,27999,False,True,Artist,Urban,Instagram,228,14,Pranks,19,25,31,Afternoon,5,Habit,Computer,Android,School,WiFi,Medium
32,42436,False,True,Engineer,Rural,Facebook,30,6,Vlogs,19,9,7,Evening,6,Entertainment,Tablet,Android,Home,MobileData,Medium
60,62963,True,False,WaitStaff,Rural,YouTube,101,19,Vlogs,4,6,41,Night,3,Habit,Smartphone,Android,Commuting,MobileData,Low
25,22096,False,True,Manager,Urban,TikTok,136,6,Gaming,19,13,21,Morning,8,Boredom,Smartphone,iOS,Home,MobileData,High
38,45279,False,False,Driver,Urban,Instagram,89,18,Memes,9,27,16,Night,3,Entertainment,Computer,Android,Home,WiFi,Low
56,46201,False,False,Students,Rural,TikTok,247,5,Vlogs,16,22,20,Morning,8,Habit,Smartphone,Android,School,WiFi,High
36,39715,False,False,Engineer,Rural,Instagram,191,6,Entertainment,27,28,43,Night,3,Entertainment,Tablet,Android,Home,MobileData,Low
40,49309,False,False,WaitStaff,Rural,Instagram,34,2,Vlogs,4,20,44,Night,3,Entertainment,Computer,Android,Home,MobileData,Low
28,35078,False,False,Students,Rural,YouTube,165,8,ASMR,6,4,47,Evening,6,Boredom,Smartphone,iOS,Home,MobileData,Medium
28,76614,True,True,Manager,Rural,Instagram,14,15,Pranks,8,2,19,Afternoon,5,Boredom,Smartphone,Android,Home,MobileData,Medium
41,25105,False,False,Labor,Urban,TikTok,129,15,LifeHacks,27,26,48,Evening,6,Habit,Tablet,Android,Home,WiFi,Medium
53,22839,False,False,WaitStaff,Rural,Instagram,286,11,Gaming,29,4,32,Afternoon,5,Habit,Smartphone,Android,School,MobileData,Medium
57,88920,True,True,WaitStaff,Rural,Facebook,27,1,Vlogs,24,8,15,Evening,6,Entertainment,Tablet,Android,Commuting,WiFi,Medium
41,63619,True,True,Cashier,Rural,YouTube,207,18,Gaming,16,13,5,Evening,6,Boredom,Tablet,iOS,School,WiFi,Medium
20,62821,True,True,Students,Rural,YouTube,66,12,Entertainment,5,10,11,Evening,6,Entertainment,Smartphone,MacOS,School,MobileData,Medium
39,33493,False,False,WaitStaff,Rural,Facebook,102,12,ASMR,21,18,15,Afternoon,5,Habit,Smartphone,iOS,Home,WiFi,Medium
19,37069,False,False,Students,Rural,Facebook,28,11,ASMR,22,9,29,Evening,6,Habit,Smartphone,Windows,Home,MobileData,Medium
41,27531,False,False,Labor,Rural,Facebook,202,8,Pranks,10,1,45,Evening,6,Entertainment,Smartphone,iOS,Work,MobileData,Medium
61,57051,True,True,Labor,Urban,Instagram,246,7,Vlogs,23,13,4,Morning,8,Habit,Smartphone,MacOS,Work,MobileData,High
47,27736,False,False,WaitStaff,Rural,YouTube,286,2,Vlogs,13,18,49,Afternoon,5,Habit,Tablet,iOS,Commuting,MobileData,Medium
55,27710,False,False,Driver,Rural,Facebook,236,11,Entertainment,29,15,36,Afternoon,5,Boredom,Computer,Android,Commuting,MobileData,Medium
19,87155,True,False,Students,Rural,Instagram,242,10,Entertainment,26,2,48,Night,3,Boredom,Smartphone,Android,Work,MobileData,Low
38,33975,False,False,WaitStaff,Urban,Facebook,49,3,Pranks,14,11,23,Evening,6,Habit,Smartphone,iOS,Home,MobileData,Medium
50,82424,True,True,WaitStaff,Rural,TikTok,162,10,Memes,7,29,15,Evening,6,Boredom,Smartphone,Android,Home,MobileData,Medium
29,65603,True,False,Labor,Urban,TikTok,136,18,Memes,29,14,46,Afternoon,5,Entertainment,Smartphone,Android,School,WiFi,Medium
39,43252,False,True,Students,Rural,YouTube,246,14,Gaming,20,22,44,Evening,6,Habit,Smartphone,Android,Commuting,MobileData,Medium
61,21431,False,False,Manager,Urban,Instagram,64,18,LifeHacks,6,15,3,Night,3,Habit,Smartphone,iOS,Home,WiFi,Low
42,94603,True,True,Labor,Rural,TikTok,181,8,Entertainment,7,14,32,Evening,6,Boredom,Smartphone,MacOS,Work,MobileData,Medium
44,57481,True,False,Driver,Urban,TikTok,118,10,Pranks,5,16,10,Evening,6,Entertainment,Smartphone,Android,Home,WiFi,Medium
59,29557,False,True,Driver,Rural,Instagram,193,13,Pranks,21,23,40,Morning,8,Habit,Smartphone,iOS,School,WiFi,High
45,94971,True,False,Students,Rural,Facebook,207,8,Memes,18,29,38,Afternoon,5,Habit,Smartphone,Android,Home,MobileData,Medium
33,20162,False,True,Labor,Rural,Instagram,96,4,Trends,23,15,22,Night,3,Boredom,Tablet,iOS,Commuting,MobileData,Low
32,54742,True,False,WaitStaff,Rural,Facebook,210,4,Trends,12,19,14,Evening,6,Entertainment,Smartphone,Android,Work,MobileData,Medium
64,39675,False,True,Students,Rural,TikTok,284,5,Entertainment,6,27,17,Evening,6,Entertainment,Tablet,iOS,School,MobileData,Medium
61,93997,True,False,Students,Urban,TikTok,220,1,Memes,27,9,21,Night,3,Procrastination,Smartphone,Android,Home,WiFi,Low
20,37015,False,True,Labor,Rural,TikTok,127,17,Entertainment,1,5,48,Night,3,Entertainment,Tablet,Android,Home,MobileData,Low
54,70057,True,False,Students,Urban,YouTube,200,2,Memes,4,5,15,Afternoon,5,Boredom,Smartphone,iOS,School,WiFi,Medium
24,52591,True,True,Cashier,Rural,YouTube,51,8,Memes,19,11,15,Night,3,Habit,Smartphone,Android,Home,MobileData,Low
38,29833,False,False,Students,Rural,YouTube,51,7,ASMR,12,28,1,Afternoon,5,Boredom,Tablet,Android,Commuting,MobileData,Medium
26,27896,False,True,WaitStaff,Urban,Instagram,285,15,Comedy,15,20,24,Evening,6,Boredom,Smartphone,Android,Work,MobileData,Medium
56,52972,True,False,Students,Urban,TikTok,26,5,ASMR,3,25,12,Evening,6,Habit,Smartphone,Android,School,MobileData,Medium
35,69733,True,True,Cashier,Rural,TikTok,292,2,LifeHacks,23,24,10,Morning,8,Entertainment,Tablet,MacOS,Home,MobileData,High
21,61800,True,False,WaitStaff,Rural,Instagram,267,7,Gaming,27,28,46,Night,3,Entertainment,Tablet,Windows,School,MobileData,Low
42,25347,False,True,Labor,Urban,YouTube,72,8,Gaming,28,4,42,Evening,6,Boredom,Smartphone,iOS,Commuting,MobileData,Medium
31,79063,True,False,WaitStaff,Rural,Instagram,71,7,Comedy,26,20,42,Evening,6,Procrastination,Smartphone,Windows,Home,MobileData,Medium
26,22643,False,True,Labor,Rural,YouTube,109,7,Trends,20,18,31,Afternoon,5,Procrastination,Smartphone,MacOS,School,MobileData,Medium
43,60785,True,True,Students,Rural,TikTok,28,14,Pranks,28,25,11,Night,3,Entertainment,Tablet,Android,Work,MobileData,Low
19,38681,False,True,Students,Rural,Facebook,26,18,Trends,8,3,16,Evening,6,Boredom,Tablet,Android,School,WiFi,Medium
37,70026,True,True,Students,Urban,YouTube,255,6,LifeHacks,11,4,9,Afternoon,5,Procrastination,Smartphone,iOS,Home,MobileData,Medium
45,35892,False,False,WaitStaff,Rural,TikTok,260,4,Entertainment,16,14,47,Afternoon,5,Entertainment,Tablet,Windows,Home,WiFi,Medium
64,67299,True,True,Driver,Rural,TikTok,90,10,Entertainment,9,7,14,Evening,6,Entertainment,Tablet,iOS,Home,MobileData,Medium
24,37073,False,False,Students,Rural,Facebook,48,18,Pranks,3,26,19,Evening,6,Boredom,Tablet,MacOS,Commuting,MobileData,Medium
61,50682,True,False,Driver,Rural,TikTok,45,12,Trends,5,8,31,Afternoon,5,Procrastination,Computer,Android,Work,MobileData,Medium
25,34289,False,False,Cashier,Rural,TikTok,206,16,LifeHacks,20,24,9,Evening,6,Habit,Smartphone,iOS,Home,MobileData,Medium
64,27927,False,False,Manager,Rural,YouTube,167,7,LifeHacks,14,16,36,Night,3,Boredom,Smartphone,Android,Home,WiFi,Low
