Age,Gender,Location,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video Category,Video Length,Time Spent On Video,Number of Videos Watched,Scroll Rate,Frequency,ProductivityLoss,Satisfaction,Watch Reason,DeviceType,OS,Watch Time,Self Control,Addiction Level,CurrentActivity,ConnectionType
56,Male,Pakistan,82812,True,True,Engineer,Rural,Instagram,80,17,Pranks,24,26,22,87,Night,3,7,Procrastination,Smartphone,Android,9:00 PM,5,5,Commuting,Mobile Data
46,Female,Mexico,27999,False,True,Artist,Urban,Instagram,228,14,Pranks,19,25,31,46,Afternoon,5,5,Habit,Computer,Android,5:00 PM,7,3,At school,Wi-Fi
32,Female,United States,42436,False,True,Engineer,Rural,Facebook,30,6,Vlogs,19,9,7,88,Evening,6,4,Entertainment,Tablet,Android,2:00 PM,8,2,At home,Mobile Data
60,Male,Barzil,62963,True,False,Waiting staff,Rural,YouTube,101,19,Vlogs,4,6,41,93,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,Commuting,Mobile Data
25,Male,Pakistan,22096,False,True,Manager,Urban,TikTok,136,6,Gaming,19,13,21,4,Morning,8,2,Boredom,Smartphone,iOS,8:00 AM,10,0,At home,Mobile Data
38,Male,Vietnam,45279,False,False,driver,Urban,Instagram,89,18,Jokes/Memes,9,27,16,38,Night,3,7,Entertainment,Computer,Android,9:00 PM,5,5,At home,Wi-Fi
56,Male,India,46201,False,False,Students,Rural,TikTok,247,5,Vlogs,16,22,20,63,Morning,8,2,Habit,Smartphone,Android,8:00 AM,10,0,At school,Wi-Fi
36,Male,Barzil,39715,False,False,Engineer,Rural,Instagram,191,6,Entertainment,27,28,43,29,Night,3,7,Entertainment,Tablet,Android,9:00 PM,5,5,At home,Mobile Data
40,Male,United States,49309,False,False,Waiting staff,Rural,Instagram,34,2,Vlogs,4,20,44,19,Night,3,7,Entertainment,Computer,Android,9:00 PM,5,5,At home,Mobile Data
28,Other,United States,35078,False,False,Students,Rural,YouTube,165,8,ASMR,6,4,47,91,Evening,6,4,Boredom,Smartphone,iOS,2:00 PM,8,2,At home,Mobile Data
28,Male,Indonesia,76614,True,True,Manager,Rural,Instagram,14,15,Pranks,8,2,19,29,Afternoon,5,5,Boredom,Smartphone,Android,5:00 PM,7,3,At home,Mobile Data
41,Other,Philippines,25105,False,False,Labor/Worker,Urban,TikTok,129,15,Life Hacks,27,26,48,35,Evening,6,4,Habit,Tablet,Android,2:00 PM,8,2,At home,Wi-Fi
53,Male,Japan,22839,False,False,Waiting staff,Rural,Instagram,286,11,Gaming,29,4,32,70,Afternoon,5,5,Habit,Smartphone,Android,5:00 PM,7,3,At school,Mobile Data
57,Male,Indonesia,88920,True,True,Waiting staff,Rural,Facebook,27,1,Vlogs,24,8,15,23,Evening,6,4,Entertainment,Tablet,Android,2:00 PM,8,2,Commuting,Wi-Fi
41,Other,Vietnam,63619,True,True,Cashier,Rural,YouTube,207,18,Gaming,16,13,5,46,Evening,6,4,Boredom,Tablet,iOS,2:00 PM,8,2,At school,Wi-Fi
20,Female,Philippines,62821,True,True,Students,Rural,YouTube,66,12,Entertainment,5,10,11,44,Evening,6,4,Entertainment,Smartphone,MacOS,2:00 PM,8,2,At school,Mobile Data
39,Female,Mexico,33493,False,False,Waiting staff,Rural,Facebook,102,12,ASMR,21,18,15,48,Afternoon,5,5,Habit,Smartphone,iOS,5:00 PM,7,3,At home,Wi-Fi
19,Female,Barzil,37069,False,False,Students,Rural,Facebook,28,11,ASMR,22,9,29,52,Evening,6,4,Habit,Smartphone,Windows,2:00 PM,8,2,At home,Mobile Data
41,Other,Japan,27531,False,False,Labor/Worker,Rural,Facebook,202,8,Pranks,10,1,45,8,Evening,6,4,Entertainment,Smartphone,iOS,2:00 PM,8,2,At work,Mobile Data
61,Male,United States,57051,True,True,Labor/Worker,Urban,Instagram,246,7,Vlogs,23,13,4,55,Morning,8,2,Habit,Smartphone,MacOS,8:00 AM,10,0,At work,Mobile Data
47,Male,India,27736,False,False,Waiting staff,Rural,YouTube,286,2,Vlogs,13,18,49,66,Afternoon,5,5,Habit,Tablet,iOS,5:00 PM,7,3,Commuting,Mobile Data
